season,match_no,team_1,team_1_score,team_2,team_2_score,player_of_match,toss_winner,toss_decision,winner,venue,city,date,win_by_wickets,win_by_runs,result,umpire_1,umpire_2
2021/22,16th,Fortune Barishal,149,Chattogram Challengers,135,Shakib Al Hasan,Fortune Barishal,bat first,Barishal,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram, Feb 1 2022,0,14,14 runs,Mahfuzur Rahman,Masudur Rahman
2021/22,2nd,Minister Group Dhaka,183/6,Khulna Tigers,186/5,Rony Talukdar,Khulna Tigers,field first,Tigers,"Shere Bangla National Stadium, Mirpur",Mirpur,Jan 21 2022,5,0,5 wickets,Masudur Rahman,Morshed Ali Khan
2021/22,4th,Chattogram Challengers,161/8,Minister Group Dhaka,131,Nasum Ahmed,Minister Group Dhaka,field first,Challengers,"Shere Bangla National Stadium, Mirpur",Mirpur,Jan 22 2022,0,30,30 runs,Sharfuddoula,Tanvir Ahmed
2021/22,7th,Minister Group Dhaka,100,Sylhet Sunrisers,101/3,Nazmul Islam,Sylhet Sunrisers,field first,Sunrisers,"Shere Bangla National Stadium, Mirpur",Mirpur,Jan 25 2022,7,0,7 wickets,Masudur Rahman,Sharfuddoula
2021/22,8th,Comilla Victorians,158/7,Fortune Barishal,95,Nahidul Islam,Fortune Barishal,field first,Victorians,"Shere Bangla National Stadium, Mirpur",Mirpur,Jan 25 2022,0,63,63 runs,Morshed Ali Khan,Tanvir Ahmed
2021/22,9th,Chattogram Challengers,143/8,Khulna Tigers,144/4,Andre Fletcher,Khulna Tigers,field first,Tigers,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,Jan 28 2022,6,0,6 wickets,Masudur Rahman,Tanvir Ahmed
2021/22,10th,Sylhet Sunrisers,175/5,Minister Group Dhaka,177/1,Tamim Iqbal,Minister Group Dhaka,field first,Dhaka,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,Jan 28 2022,9,0,9 wickets,Mahfuzur Rahman,Prageeth Rambukwella
2021/22,1st,Chattogram Challengers,125/8,Fortune Barishal,126/6,Mehidy Hasan Miraz,Fortune Barishal,field first,Barishal,"Shere Bangla National Stadium, Mirpur",Mirpur,Jan 21 2022,4,0,4 wickets,Sharfuddoula,Tanvir Ahmed
2021/22,3rd,Sylhet Sunrisers,96,Comilla Victorians,97/8,Nahidul Islam,Comilla Victorians,field first,Victorians,"Shere Bangla National Stadium, Mirpur",Mirpur,Jan 22 2022,2,0,2 wickets,Masudur Rahman,Morshed Ali Khan
2021/22,11th,Fortune Barishal,141/9,Khulna Tigers,124,Mehedi Hasan Rana,Khulna Tigers,field first,Barishal,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,Jan 29 2022,0,17,17 runs,Morshed Ali Khan,Prageeth Rambukwella
2021/22,5th,Fortune Barishal,129/8,Minister Group Dhaka,130/6,Mahmudullah,Minister Group Dhaka,field first,Dhaka,"Shere Bangla National Stadium, Mirpur",Mirpur,Jan 24 2022,4,0,4 wickets,Masudur Rahman,Tanvir Ahmed
2021/22,6th,Chattogram Challengers,190/7,Khulna Tigers,165/9,Benny Howell,Khulna Tigers,field first,Challengers,"Shere Bangla National Stadium, Mirpur",Mirpur,Jan 24 2022,0,25,25 runs,Morshed Ali Khan,Sharfuddoula
2021/22,14th,Fortune Barishal,145,Khulna Tigers,139/6,Shakib Al Hasan,Fortune Barishal,bat first,Barishal,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,Jan 31 2022,0,6,6 runs,Mahfuzur Rahman,Prageeth Rambukwella
2021/22,12th,Chattogram Challengers,202/5,Sylhet Sunrisers,186/6,Mrittunjoy Chowdhury,Sylhet Sunrisers,field first,Challengers,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,Jan 29 2022,0,16,16 runs,Mahfuzur Rahman,Sharfuddoula
2021/22,15th,Minister Group Dhaka,181/6,Comilla Victorians,131,Mahmudullah,Comilla Victorians,field first,Dhaka,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram, Feb 1 2022,0,50,50 runs,Prageeth Rambukwella,Tanvir Ahmed
2021/22,13th,Comilla Victorians,183/3,Chattogram Challengers,131,Faf du Plessis,Chattogram Challengers,field first,Victorians,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,Jan 31 2022,0,52,52 runs,Morshed Ali Khan,Sharfuddoula
