season,match_no,team_1,team_1_score,team_2,team_2_score,player_of_match,toss_winner,toss_decision,winner,venue,city,date,win_by_wickets,win_by_runs,result,umpire_1,umpire_2
2011/12,Final,Barisal Burners,140/7,Dhaka Gladiators,144/2,Imran Nazir,Dhaka Gladiators,field first,Dhaka,"Shere Bangla National Stadium, Mirpur",Mirpur,Feb 29 2012,8,0,8 wickets,David Orchard,Enamul Haque
2011/12,2nd,Chittagong Kings,206/4,Duronto Rajshahi,153,Dwayne Bravo,Chittagong Kings,bat first,Chittagong,"Shere Bangla National Stadium, Mirpur",Mirpur,Feb 10 2012,0,53,53 runs,Jeremy Lloyds,Sharfuddoula
2011/12,4th,Barisal Burners,180/2,Duronto Rajshahi,158/9,Ahmed Shehzad,Barisal Burners,bat first,Barisal,"Shere Bangla National Stadium, Mirpur",Mirpur,Feb 11 2012,0,22,22 runs,David Orchard,Gazi Sohel
2011/12,3rd,Khulna Royal Bengals,175/5,Dhaka Gladiators,156/7,Andre Russell,Khulna Royal Bengals,bat first,Khulna,"Shere Bangla National Stadium, Mirpur",Mirpur,Feb 11 2012,0,19,19 runs,Jeremy Lloyds,Sharfuddoula
2011/12,7th,Barisal Burners,125,Khulna Royal Bengals,131/3,Dwayne Smith,Khulna Royal Bengals,field first,Khulna,"Shere Bangla National Stadium, Mirpur",Mirpur,Feb 13 2012,7,0,7 wickets,Enamul Haque,Jeremy Lloyds
2011/12,6th,Sylhet Royals,124,Dhaka Gladiators,126/3,Anamul Haque,Sylhet Royals,bat first,Dhaka,"Shere Bangla National Stadium, Mirpur",Mirpur,Feb 12 2012,7,0,7 wickets,Jeremy Lloyds,Sharfuddoula
2011/12,5th,Khulna Royal Bengals,171/3,Chittagong Kings,174/4,Nasir Jamshed,Khulna Royal Bengals,bat first,Chittagong,"Shere Bangla National Stadium, Mirpur",Mirpur,Feb 12 2012,6,0,6 wickets,David Orchard,Enamul Haque
2011/12,8th,Chittagong Kings,153/6,Dhaka Gladiators,156/4,Kieron Pollard,Chittagong Kings,bat first,Dhaka,"Shere Bangla National Stadium, Mirpur",Mirpur,Feb 13 2012,6,0,6 wickets,David Orchard,Sharfuddoula
2011/12,9th,Duronto Rajshahi,171/8,Sylhet Royals,155/4,Marlon Samuels,Duronto Rajshahi,bat first,Rajshahi,"Shere Bangla National Stadium, Mirpur",Mirpur,Feb 14 2012,0,16,16 runs,David Orchard,Enamul Haque
2011/12,10th,Dhaka Gladiators,208/5,Barisal Burners,187/5,Azhar Mahmood,Barisal Burners,field first,Dhaka,"Shere Bangla National Stadium, Mirpur",Mirpur,Feb 14 2012,0,21,21 runs,Jeremy Lloyds,Sharfuddoula
2015/16,17th,Comilla Victorians,141/7,Dhaka Dynamites,131/6,Ashar Zaidi,Dhaka Dynamites,field first,Victorians,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chittagong, Dec 2 2015,0,10,10 runs,Mahfuzur Rahman,Tanvir Ahmed
2015/16,16th,Dhaka Dynamites,158/5,Barisal Bulls,159/1,Evin Lewis,Barisal Bulls,field first,Bulls,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chittagong, Dec 1 2015,9,0,9 wickets,Enamul Haque,Ranmore Martinesz
2015/16,15th,Chittagong Vikings,111/8,Rangpur Riders,113/1,Soumya Sarkar,Chittagong Vikings,bat first,Riders,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chittagong, Dec 1 2015,9,0,9 wickets,Enamul Haque,Sharfuddoula
2015/16,18th,Sylhet Super Stars,139/9,Chittagong Vikings,140/0,Tillakaratne Dilshan,Chittagong Vikings,field first,Vikings,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chittagong, Dec 2 2015,10,0,10 wickets,Anisur Rahman,Morshed Ali Khan
2015/16,19th,Rangpur Riders,104/9,Barisal Bulls,75/4,Al-Amin Hossain,Barisal Bulls,field first,Bulls,"Zahur Ahmed Chowdhury Stadium, Chittagong",Chittagong, Dec 3 2015,6,0,6 wickets,Anisur Rahman,Ranmore Martinesz
2019/20,19th,Sylhet Thunder,174/4,Dhaka Platoon,175/2,Mahedi Hasan,Sylhet Thunder,bat first,Platoon,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,Dec 24 2019,8,0,8 wickets,David Millns,Gazi Sohel
